"","V1","V2","weight","height","size1","size1mean","size1norm","lccrank"
"1","L2_177180","L3_44500",700,1000,108343,22083.3714285714,4.9060896498723,1
"2","L2_458566","L3_118753",700,1000,77819,22083.3714285714,3.52387316636435,2
"3","L2_1050576","L3_119653",700,1000,42935,22083.3714285714,1.94422306117855,3
"4","L2_406737","L3_85330",700,1000,39149,22083.3714285714,1.77278184749223,4
"5","L2_435524","L3_55598",700,1000,38146,22083.3714285714,1.72736305791818,5
"6","L2_309707","L3_36097",700,1000,27115,22083.3714285714,1.22784693848507,6
"7","L2_1007507","L3_346720",700,1000,23132,22083.3714285714,1.04748498547065,7
"8","L2_142461","L3_36097",700,1000,22938,22083.3714285714,1.0387000949648,8
"9","L2_1020712","L3_352603",700,1000,20561,22083.3714285714,0.931062544797767,9
"10","L2_188256","L3_33878",700,1000,19760,22083.3714285714,0.894790909255574,9
"11","L2_1254512","L3_424791",700,1000,19719,22083.3714285714,0.892934308684751,9
"12","L2_769730","L3_242734",700,1000,17303,22083.3714285714,0.783530723828401,9
"13","L2_116214","L3_36097",700,1000,16879,22083.3714285714,0.764330756949638,9
"14","L2_1048764","L3_119653",700,1000,16822,22083.3714285714,0.761749629326785,9
"15","L2_239736","L3_32987",700,1000,16734,22083.3714285714,0.757764730540627,9
"16","L2_454470","L3_32987",700,1000,16422,22083.3714285714,0.743636453026065,9
"17","L2_276969","L3_33878",700,1000,16411,22083.3714285714,0.743138340677795,9
"18","L2_1354119","L3_401522",700,1000,16029,22083.3714285714,0.725840257310607,9
"19","L2_460235","L3_118936",700,1000,15829,22083.3714285714,0.716783669160247,9
"20","L2_520586","L3_108124",700,1000,15263,22083.3714285714,0.691153524694728,9
"21","L2_500310","L3_94933",700,1000,14351,22083.3714285714,0.649855482729086,9
"22","L2_550999","L3_129065",700,1000,14265,22083.3714285714,0.645961149824432,9
"23","L2_1314791","L3_449724",700,1000,13788,22083.3714285714,0.624361187085823,9
"24","L2_1051646","L3_119653",700,1000,13300,22083.3714285714,0.602263111998944,9
"25","L2_142458","L3_36097",700,1000,13028,22083.3714285714,0.589946152114455,9
