i,j,w
104318,7946372941,3.667
104318,1596648671,58.759
104318,25509527,24.883000000000003
104319,7946378610,2.012
104319,2398924898,53.068000000000005
104320,10263444809,8.785
104320,20965803,11.143
104320,5475684758,34.431
104321,24951853,19.82
104321,24951854,54.048
104321,25632862,55.672
104322,7553887409,8.376
104322,25161368,17.057000000000002
104322,25161347,69.606
104322,25161345,30.528
104323,4167762776,4.524
104323,2612458244,83.366
104323,1237883773,26.226
107584,742399752,31.108
107584,251892950,14.924
107584,30056310,48.15
107585,6218501751,3.462
107585,251892754,35.134
107585,6218501740,30.377000000000002
107586,1312188768,15.178
107586,4726152857,13.243
107586,4726152850,12.478
107587,3381130090,9.215
107587,3381130092,16.889
107587,1678245252,16.99
107587,4688513237,9.582
107588,3715515059,14.304
107588,25070019,45.402
107588,25248115,28.898
107606,25475770,11.540000000000001
107606,4136137529,86.781
107606,1689605567,12.082
107606,109728,47.577
107614,1951242858,20.006
107614,1864047135,18.255000000000003
107626,8807410154,6.491
107626,1312454055,3.709
107626,259252667,34.048
107627,8807410158,8.197
107627,259252667,31.9
107627,25532377,29.701999999999998
107632,6458938017,6.555
107634,24950050,36.598
107634,25161362,30.164
107634,25161361,17.715
107637,5141625696,32.763999999999996
107637,5198585559,58.917
107638,5198585557,18.518
107638,25067324,29.626
107638,6369361794,54.562000000000005
107641,7926506531,7.199999999999999
107641,7926506525,8.404
107643,107644,82.63900000000001
107643,10311178960,3.772
107643,10311362153,8.098
107644,470729237,46.711
107644,1938819294,8.775
107646,4922952353,5.635
107646,1163955130,132.206
107646,1726730123,50.485
107646,7223709668,37.251999999999995
107667,4627445240,24.063
107667,10309472541,5.014
107668,10309153027,8.314
107668,1239549084,34.0
107681,21693793,39.385
107681,1726730375,35.138
107681,18397096,56.716
107681,1401870340,15.390999999999998
107684,25500535,20.728
107684,5342251136,29.907000000000004
107685,25503848,9.404
107685,1726730354,8.752
107685,25503841,40.315
107686,7613626070,1.524
107686,4530339699,14.034000000000002
107687,1163955130,2.627
107687,441958994,21.948
107687,20965803,21.147
107692,2294047375,5.878
107692,25496622,57.43199999999999
107692,1617647945,35.513999999999996
107693,7223695326,9.116
107693,25496622,9.269
107693,26374236,30.407
107693,5006063176,39.009
108389,1832248430,3.02
108389,6724775018,8.952
108389,1832248428,14.52
108391,25495697,37.04
108391,25495698,9.444
108391,25496624,29.999
108393,1938953433,39.996
108406,748797126,26.848000000000003
108409,390073160,12.643999999999998
108409,2331184935,150.494
108409,5973397966,32.471000000000004
108420,9030284973,22.634999999999998
108420,25477197,39.071
108838,2137096880,74.26700000000001
108838,2278320131,27.526999999999997
108838,10306423498,81.156
108842,2141364732,42.203
108842,1722621718,84.673
108842,2197518969,60.243
108844,109737,122.933
108844,473259748,66.857
108844,108845,72.412
108845,108844,72.412
108845,20626301,121.625
