cluster_id,cluster_diam
0,5
1,7
2,10
3,13
4,13
5,17
6,13
7,3
8,17
9,39
10,3
11,3
12,6
13,18
14,1
15,11
16,7
17,11
18,37
19,19
20,20
21,4
22,22
23,25
24,1
25,26
26,13
27,1
28,39
29,6
30,49
31,1
32,1
33,7
34,5
35,3
36,3
37,10
38,1
39,3
40,29
41,2
42,1
43,4
44,6
45,2
46,24
47,2
48,5
49,9
50,3
51,3
52,16
53,3
54,3
55,20
56,3
57,2
58,6
59,2
60,2
61,13
62,1
63,3
64,14
65,4
66,16
67,7
68,4
69,9
70,3
71,5
72,3
73,1
74,2
75,1
76,6
77,2
78,3
79,14
80,3
81,7
82,6
83,9
84,10
85,4
86,6
87,5
88,6
89,1
90,1
91,2
92,1
93,2
94,4
95,4
96,3
97,2
98,2
99,14
100,3
101,5
102,4
103,1
104,2
105,3
106,12
107,3
108,1
109,5
110,8
111,1
112,3
113,4
114,3
115,4
116,1
117,3
118,6
119,14
120,4
121,2
122,2
123,2
124,2
125,10
126,11
127,6
128,6
129,6
130,7
131,7
132,5
133,5
134,3
135,2
136,2
137,6
138,3
139,1
140,1
141,18
142,3
143,2
144,4
145,4
146,3
147,6
148,6
149,3
150,1
151,3
152,1
153,4
154,6
155,4
156,2
157,1
158,4
159,1
160,5
161,14
162,1
163,3
164,3
165,2
166,2
167,3
168,9
169,10
170,6
171,4
172,9
173,4
174,9
175,6
176,3
177,2
178,1
179,1
180,25
181,2
182,3
183,7
184,15
185,14
186,4
187,1
188,7
189,1
190,11
191,3
192,1
193,2
194,5
195,1
196,4
197,1
198,1
199,8
200,2
201,4
202,4
203,5
204,1
205,5
206,11
207,5
208,1
209,8
210,1
211,1
212,3
213,4
214,2
215,2
216,1
217,9
218,2
219,3
220,1
221,1
222,1
223,5
224,2
225,1
226,1
227,2
228,2
229,2
230,2
231,10
232,5
233,1
234,5
235,2
236,1
237,2
238,4
239,2
240,6
241,2
242,6
243,1
244,4
245,1
246,1
247,1
248,4
249,2
250,2
251,1
252,8
253,1
254,2
255,1
256,3
257,2
258,4
259,1
260,4
261,8
262,5
263,1
264,1
265,6
266,3
267,2
268,1
269,3
270,2
271,2
272,1
273,2
274,4
275,3
276,2
277,2
278,1
279,8
280,1
281,10
282,2
283,1
284,2
285,1
286,2
287,1
288,2
289,1
290,1
291,5
292,6
293,2
294,1
295,4
296,4
297,1
298,2
299,3
300,1
301,1
302,1
303,3
304,2
305,1
306,1
307,3
308,2
309,4
310,2
311,3
312,1
313,1
314,1
315,2
316,1
317,3
318,1
319,5
320,4
321,3
322,2
323,4
324,2
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,2
333,1
334,1
