cluster_id,cluster_size
0,847
1,44
2,1899
3,4
4,144
5,88
6,25
7,3
8,3
9,2
10,10
11,9
12,4
13,29
14,9
15,2
16,5
17,138
18,19
19,4
20,19
21,5
22,12
23,5
24,17
25,4
26,2
27,3
28,10
29,2
30,7
31,10
32,3
33,32
34,5
35,2
36,18
37,71
38,4
39,50
40,9
41,4
42,2
43,6
44,5
45,2
46,3
47,6
48,6
49,3
50,3
51,4
52,17
53,9
54,6
55,3
56,7
57,2
58,2
59,19
60,3
61,9
62,3
63,4
64,3
65,2
66,2
67,2
68,3
69,9
70,12
71,2
72,4
73,10
74,2
75,6
76,2
77,4
78,3
79,8
80,13
81,3
82,2
83,14
84,22
85,4
86,2
87,2
88,11
89,13
90,2
91,3
92,3
93,4
94,3
95,7
96,2
97,2
98,2
99,3
100,11
101,2
