threshold_p,n_clusters,LCC_id,LCC_size
1,18,5,3
2,94,25,7
3,199,68,7
4,341,201,18
5,487,279,25
6,591,350,25
7,686,429,27
8,731,477,27
9,759,441,29
10,780,333,54
11,781,348,56
12,783,362,56
13,769,378,56
14,760,510,58
15,744,518,58
16,726,403,59
17,712,405,107
18,697,403,113
19,683,373,173
20,662,377,184
21,642,371,184
22,632,307,210
23,602,304,211
24,571,198,213
25,546,31,217
26,516,31,217
27,489,32,226
28,469,32,226
29,457,31,230
30,425,30,231
31,394,29,231
32,372,29,253
33,351,30,259
34,335,30,259
35,316,29,259
36,293,26,260
37,278,25,262
38,262,23,262
39,243,23,267
40,224,21,283
41,210,5,363
42,195,5,374
43,180,5,406
44,164,5,654
45,147,4,1059
46,136,4,1108
47,123,3,1451
48,115,3,1850
49,102,2,1899
50,92,0,2766
51,84,0,2817
52,79,0,2872
53,70,0,3254
54,66,0,3307
55,61,0,3339
56,58,0,3388
57,55,0,3565
58,51,0,3584
59,49,0,3598
60,46,0,3621
61,43,0,3633
62,43,0,3634
63,41,0,3670
64,39,0,3684
65,34,0,3733
66,32,0,3755
67,32,0,3758
68,27,0,3828
69,25,0,3849
70,22,0,3872
71,20,0,3877
72,20,0,3878
73,18,0,3897
74,17,0,3902
75,16,0,3907
76,16,0,3908
77,14,0,3915
78,14,0,3917
79,13,0,3920
80,13,0,3920
81,12,0,3924
82,12,0,3925
83,11,0,3930
84,11,0,3931
85,11,0,3932
86,10,0,3938
87,10,0,3938
88,10,0,3938
89,10,0,3938
90,10,0,3938
91,10,0,3939
92,10,0,3939
93,10,0,3939
94,10,0,3939
95,10,0,3940
96,10,0,3940
97,9,0,3952
98,8,0,3959
99,8,0,3959
100,8,0,3959
